Molecule;Target;ATC;Action;pCHEMBL
celecoxib;dopamine transporter;L01XX33. M01AH01;NA;6.176461
chlorpromazine;dopamine transporter;N05AA01;NA;5.366563
chlorprothixene;dopamine transporter;N05AF03;NA;5.770000
citalopram;dopamine transporter;N06AB04;NA;5.000000
clomipramine;dopamine transporter;N06AA04;antagonist;5.624559
clozapine;dopamine transporter;N05AH02;NA;5.000000
cocaine;dopamine transporter;N01BC01. R02AD03. S01HA01. S02DA02;antagonist;6.564068
desipramine;dopamine transporter;N06AA01;NA;5.242237
desvenlafaxine;dopamine transporter;N06AX23;antagonist;5.509083
dexamfetamine;dopamine transporter;N06BA02;antagonist;7.007211
dexmethylphenidate;dopamine transporter;N06BA11;antagonist;7.364355
dopamine;dopamine transporter;C01CA04;agonist;5.747341
dosulepin;dopamine transporter;N06AA16;NA;5.274905
doxepin;dopamine transporter;N06AA12. D04AX01;NA;5.000000
duloxetine;dopamine transporter;N06AX21;antagonist;6.492875
ephedrine;dopamine transporter;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;antagonist;5.729755
ergotamine;dopamine transporter;N02CA02;NA;5.000000
escitalopram;dopamine transporter;N06AB10;antagonist;5.000000
etoricoxib;dopamine transporter;M01AH05;NA;5.000000
fenfluramine;dopamine transporter;A08AA02;NA;5.000000
fluoxetine;dopamine transporter;N06AB03;NA;5.342270
fluphenazine;dopamine transporter;N05AB02;NA;5.371220
fluvoxamine;dopamine transporter;N06AB08;NA;5.018073
haloperidol;dopamine transporter;N05AD01;NA;5.300943
ibuprofen;dopamine transporter;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;dopamine transporter;N05AX14;NA;5.530031
imipramine;dopamine transporter;N06AA02;antagonist;5.035167
iproniazide;dopamine transporter;N06AF05;NA;5.000000
ketamine;dopamine transporter;N01AX03;NA;5.000000
ketorolac;dopamine transporter;M01AB15. S01BC05;NA;5.000000
lofepramine;dopamine transporter;N06AA07;NA;5.000000
loxapine;dopamine transporter;N05AH01;NA;5.009990
maprotiline;dopamine transporter;N06AA21;NA;6.000000
mazindol;dopamine transporter;A08AA05;antagonist;7.804789
meloxicam;dopamine transporter;M01AC06;NA;5.000000
melperone;dopamine transporter;N05AD03;NA;5.000000
memantine;dopamine transporter;N06DX01;NA;5.000000
mephedrone;dopamine transporter;N06BA-h;NA;6.265200
mesoridazine;dopamine transporter;N05AC03;NA;5.000000
metamfetamine;dopamine transporter;N06BA-l;antagonist;7.610834
methionine;dopamine transporter;V03AB26;NA;5.000000
methylphenidate;dopamine transporter;N06BA04;antagonist;7.301717
methysergide;dopamine transporter;N02CA04;NA;5.000000
mianserin;dopamine transporter;N06AX03;NA;5.026872
milnacipran;dopamine transporter;N06AX17;antagonist;5.239275
mirtazapine;dopamine transporter;N06AX11;NA;5.000000
mitragynine;dopamine transporter;N02AX-a;NA;5.111070
modafinil;dopamine transporter;N06BA07;antagonist;5.505019
molindone;dopamine transporter;N05AE02;NA;4.000000
naproxen;dopamine transporter;M01AE02. M02AA12. G02CC02;NA;5.000000
nefazodone;dopamine transporter;N06AX06;antagonist;6.443697
nefopam;dopamine transporter;N02BG06;NA;6.274905
nimesulide;dopamine transporter;M01AX17. M02AA26;NA;5.000000
norepinephrine;dopamine transporter;C01CA03;NA;5.026354
olanzapine;dopamine transporter;N05AH03;NA;5.000000
ondansetron;dopamine transporter;A04AA01;NA;5.000000
parecoxib;dopamine transporter;M01AH04;NA;5.000000
paroxetine;dopamine transporter;N06AB05;NA;6.295252
perphenazine;dopamine transporter;N05AB03;NA;5.890000
phenelzine;dopamine transporter;N06AF03;antagonist;5.077860
pimozide;dopamine transporter;N05AG02;NA;7.160000
piroxicam;dopamine transporter;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;dopamine transporter;N04BC05;NA;5.000000
prochlorperazine;dopamine transporter;N05AB04;NA;6.230000
protriptyline;dopamine transporter;N06AA11;NA;5.677781
pseudoephedrine;dopamine transporter;R01BA02;antagonist;5.237516
psylocibine;dopamine transporter;N06BA-d;NA;5.000000
pyrovalerone;dopamine transporter;N06BA-c;NA;8.096910
quetiapine;dopamine transporter;N05AH04;NA;5.000000
reboxetine;dopamine transporter;N06AX18;NA;5.000000
remoxipride;dopamine transporter;N05AL04;NA;5.000000
reserpine;dopamine transporter;C02AA02;NA;5.000000
risperidone;dopamine transporter;N05AX08;NA;5.000000
rofecoxib;dopamine transporter;M01AH02;NA;5.000000
serotonin;dopamine transporter;N06AB-a;NA;5.000000
sertindole;dopamine transporter;N05AE03;NA;6.700000
sertraline;dopamine transporter;N06AB06;NA;7.319838
sibutramine;dopamine transporter;A08AA10;antagonist;6.300000
sulpiride;dopamine transporter;N05AL01;NA;5.000000
thioridazine;dopamine transporter;N05AC02;NA;5.811704
tianeptine;dopamine transporter;N06AX14;NA;5.000000
tiotixene;dopamine transporter;N05AF04;NA;5.215362
tranylcypromine;dopamine transporter;N06AF04;NA;5.292430
trazodone;dopamine transporter;N06AX05;NA;5.064962
trifluoperazine;dopamine transporter;N05AB06;NA;6.240000
trimipramine;dopamine transporter;N06AA06;antagonist;5.421254
valdecoxib;dopamine transporter;M01AH03;NA;5.000000
venlafaxine;dopamine transporter;N06AX16;antagonist;5.172600
ziprasidone;dopamine transporter;N05AE04;NA;5.966574
zotepine;dopamine transporter;N05AX11;NA;5.534780
bazedoxifene;estrogen receptor alpha;G03XC02;antagonist;7.640000
diethylstilbestrol;estrogen receptor alpha;L02AA01. G03CB02. G03CC05;agonist;9.297017
estradiol;estrogen receptor alpha;G03CA03;agonist;8.889828
estriol;estrogen receptor alpha;G03CA04. G03CC06;agonist;8.670000
estrone;estrogen receptor alpha;G03CA07. G03CC04;agonist;7.739218
ethinylestradiol;estrogen receptor alpha;G03CA01. L02AA03;agonist;8.654983
fulvestrant;estrogen receptor alpha;L02BA03;antagonist;8.980000
raloxifene;estrogen receptor alpha;G03XC01;agonist;9.500000
stanozolol;estrogen receptor alpha;A14AA02;agonist;6.950000
tamoxifen;estrogen receptor alpha;L02BA01;partial agonist;6.792462
tibolone;estrogen receptor alpha;G03CX01;agonist;8.400000
bazedoxifene;estrogen receptor beta;G03XC02;antagonist;7.070000
diethylstilbestrol;estrogen receptor beta;L02AA01. G03CB02. G03CC05;agonist;9.800000
estradiol;estrogen receptor beta;G03CA03;agonist;9.340000
estriol;estrogen receptor beta;G03CA04. G03CC06;agonist;8.400000
estrone;estrogen receptor beta;G03CA07. G03CC04;agonist;7.930000
ethinylestradiol;estrogen receptor beta;G03CA01. L02AA03;agonist;8.090000
fulvestrant;estrogen receptor beta;L02BA03;antagonist;8.860000
raloxifene;estrogen receptor beta;G03XC01;agonist;7.709398
tamoxifen;estrogen receptor beta;L02BA01;agonist;7.164998
alprazolam;gaba a alpha1;N05BA12;agonist;7.430000
aminobutyric acid;gaba a alpha1;N03AG03;agonist;7.384801
clonazepam;gaba a alpha1;N03AE01;agonist;8.900000
diazepam;gaba a alpha1;N05BA01;agonist;7.790000
flumazenil;gaba a alpha1;V03AB25;antagonist;9.100000
flunitrazepam;gaba a alpha1;N05CD03;agonist;8.280000
triazolam;gaba a alpha1;N05CD05;agonist;9.049862
zolpidem;gaba a alpha1;N05CF02;agonist;7.533605
alprazolam;gaba a alpha2;N05BA12;agonist;7.920000
alprazolam;gaba a alpha2;N05BA12;agonist;9.229148
aminobutyric acid;gaba a alpha2;N03AG03;agonist;7.640165
clonazepam;gaba a alpha2;N03AE01;agonist;8.770000
clonazepam;gaba a alpha2;N03AE01;agonist;8.769551
diazepam;gaba a alpha2;N05BA01;agonist;7.770000
diazepam;gaba a alpha2;N05BA01;agonist;7.772113
diazepam;gaba a alpha2;N05BA01;agonist;7.698970
flumazenil;gaba a alpha2;V03AB25;antagonist;9.050000
flunitrazepam;gaba a alpha2;N05CD03;agonist;8.280000
flunitrazepam;gaba a alpha2;N05CD03;agonist;8.283997
flunitrazepam;gaba a alpha2;N05CD03;agonist;8.602060
triazolam;gaba a alpha2;N05CD05;agonist;9.230000
triazolam;gaba a alpha2;N05CD05;agonist;8.920819
zolpidem;gaba a alpha2;N05CF02;agonist;6.120000
zolpidem;gaba a alpha2;N05CF02;agonist;6.118844
alprazolam;gaba a alpha3;N05BA12;agonist;7.160000
clonazepam;gaba a alpha3;N03AE01;agonist;8.700000
diazepam;gaba a alpha3;N05BA01;agonist;7.770000
flumazenil;gaba a alpha3;V03AB25;antagonist;8.980000
flunitrazepam;gaba a alpha3;N05CD03;agonist;7.800000
triazolam;gaba a alpha3;N05CD05;agonist;8.840000
zolpidem;gaba a alpha3;N05CF02;agonist;5.670000
alprazolam;gaba a alpha5;N05BA12;agonist;8.000000
aminobutyric acid;gaba a alpha5;N03AG03;agonist;8.060481
diazepam;gaba a alpha5;N05BA01;agonist;7.958607
flumazenil;gaba a alpha5;V03AB25;antagonist;9.220000
flunitrazepam;gaba a alpha5;N05CD03;agonist;8.260000
triazolam;gaba a alpha5;N05CD05;agonist;8.602558
alprazolam;gaba a alpha6;N05BA12;agonist;5.000000
aminobutyric acid;gaba a alpha6;N03AG03;agonist;7.110026
diazepam;gaba a alpha6;N05BA01;agonist;5.000000
flumazenil;gaba a alpha6;V03AB25;agonist;6.830000
flunitrazepam;gaba a alpha6;N05CD03;agonist;5.338057
triazolam;gaba a alpha6;N05CD05;agonist;5.000000
zolpidem;gaba a alpha6;N05CF02;NA;5.000000
beclometasone;glucocorticoid receptor;D07AC15. R01AD01. R03BA01. A07EA07;agonist;8.430000
betamethasone;glucocorticoid receptor;D07AC01. D07XC01. H02AB01. R01AD06. R03BA04. S01BA06. S01CB04. S02BA07. S03BA03. A07EA04. C05AA05;agonist;8.236352
budesonide;glucocorticoid receptor;A07EA06. D07AC09. R01AD05. R03BA02;agonist;8.393397
ciclesonide;glucocorticoid receptor;R01AD13. R03BA08;agonist;7.430000
clobetasol;glucocorticoid receptor;D07AD01;agonist;9.065238
cortisone;glucocorticoid receptor;H02AB10. S01BA03;agonist;5.577410
cyproterone;glucocorticoid receptor;G03HA01;antagonist;6.817881
desoximetasone;glucocorticoid receptor;D07AC03. D07XC02;agonist;8.815197
dexamethasone;glucocorticoid receptor;D07AB19. D07XB05. D10AA03. H02AB02. R01AD03. S01BA01. S01CB01. S02BA06. S03BA01. A01AC02. C05AA09;agonist;8.528387
diflorasone;glucocorticoid receptor;D07AC10;agonist;8.363169
fludroxycortide;glucocorticoid receptor;D07AC07;agonist;8.518304
flunisolide;glucocorticoid receptor;R01AD04. R03BA03;agonist;8.501718
fluocinolone acetonide;glucocorticoid receptor;C05AA10. D07AC04. S01BA15. S02BA08;agonist;8.615101
fluocinonide;glucocorticoid receptor;C05AA11. D07AC08;agonist;8.391817
fluorometholone;glucocorticoid receptor;C05AA06. D07AB06. D07XB04. D10AA01. S01BA07. S01CB05;agonist;8.685175
fluticasone;glucocorticoid receptor;R03BA05. D07AC17. R01AD08;agonist;9.398307
hydrocortisone;glucocorticoid receptor;A01AC03. A07EA02. C05AA01. D07AA02. D07XA01. H02AB09. S01BA02. S01CB03. S02BA01;agonist;7.748135
methylprednisolone;glucocorticoid receptor;D07AA01. D10AA02. H02AB04;agonist;8.185083
mifepristone;glucocorticoid receptor;G03XB01;antagonist;8.906249
prednisolone;glucocorticoid receptor;D07AA03. D07XA02. H02AB06. R01AD02. S01BA04. S01CB02. S02BA03. S03BA02. A07EA01. C05AA04;agonist;8.046077
prednisone;glucocorticoid receptor;A07EA03. H02AB07;agonist;6.164558
triamcinolone;glucocorticoid receptor;A01AC01. C05AA12. D07AB09. D07XB02. H02AB08. R01AD11. R03BA06. S01BA05;agonist;7.898140
acetylsalicylic acid;histamine h1 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
alprazolam;histamine h1 receptor;N05BA12;NA;5.000000
amisulpride;histamine h1 receptor;N05AL05;NA;5.000000
amitriptyline;histamine h1 receptor;N06AA09;antagonist;9.186093
amoxapine;histamine h1 receptor;N06AA17;antagonist;6.884896
aripiprazole;histamine h1 receptor;N05AX12;antagonist;7.514518
asenapine;histamine h1 receptor;N05AH05;antagonist;9.800000
astemizole;histamine h1 receptor;R06AX11;antagonist;8.031967
atomoxetine;histamine h1 receptor;N06BA09;NA;5.617635
azelastine;histamine h1 receptor;R01AC03. R06AX19. S01GX07;antagonist;9.296609
benzatropine;histamine h1 receptor;N04AC01;antagonist;9.056223
brexpiprazole;histamine h1 receptor;N05AX16;NA;7.721246
bromperidol;histamine h1 receptor;N05AD06;NA;6.010000
brompheniramine;histamine h1 receptor;R06AB01;antagonist;8.217527
bupropion;histamine h1 receptor;N06AX12;NA;5.089428
carbamazepine;histamine h1 receptor;N03AF01;NA;4.472136
carbinoxamine;histamine h1 receptor;R06AA08;antagonist;8.173925
cariprazine;histamine h1 receptor;N05AX15;antagonist;7.638272
celecoxib;histamine h1 receptor;L01XX33. M01AH01;NA;5.000000
cetirizine;histamine h1 receptor;R06AE07;antagonist;7.490404
chlorpromazine;histamine h1 receptor;N05AA01;antagonist;8.316437
chlorprothixene;histamine h1 receptor;N05AF03;antagonist;8.804347
cimetidine;histamine h1 receptor;A02BA01;NA;5.000000
cinnarizine;histamine h1 receptor;N07CA02;antagonist;7.580752
citalopram;histamine h1 receptor;N06AB04;NA;6.437116
clemastine;histamine h1 receptor;D04AA14. R06AA04;antagonist;9.990182
clomipramine;histamine h1 receptor;N06AA04;NA;7.696957
clozapine;histamine h1 receptor;N05AH02;antagonist;8.906691
cocaine;histamine h1 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.669992
cyclizine;histamine h1 receptor;R06AE03;antagonist;8.027721
cyproheptadine;histamine h1 receptor;R06AX02;antagonist;8.871567
desipramine;histamine h1 receptor;N06AA01;antagonist;6.784744
desloratadine;histamine h1 receptor;R06AX27;antagonist;7.151436
dexchlorpheniramine;histamine h1 receptor;R06AB02;antagonist;7.206671
dibenzepin;histamine h1 receptor;N06AA08;NA;7.630000
diclofenac;histamine h1 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dimenhydrinate;histamine h1 receptor;R06AA-52a;antagonist;6.949460
dimetindene;histamine h1 receptor;D04AA13. R06AB03;antagonist;8.098494
diphenhydramine;histamine h1 receptor;R06AA02. D04AA32;antagonist;6.730345
dosulepin;histamine h1 receptor;N06AA16;antagonist;8.421820
doxepin;histamine h1 receptor;N06AA12. D04AX01;antagonist;9.560584
duloxetine;histamine h1 receptor;N06AX21;NA;5.638272
ebastine;histamine h1 receptor;R06AX22;NA;6.324555
ephedrine;histamine h1 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;histamine h1 receptor;N02CA02;NA;5.000000
escitalopram;histamine h1 receptor;N06AB10;antagonist;5.705534
ethosuximide;histamine h1 receptor;N03AD01;NA;5.000000
fenfluramine;histamine h1 receptor;A08AA02;NA;5.000000
fexofenadine;histamine h1 receptor;R06AX26;antagonist;7.037691
fluoxetine;histamine h1 receptor;N06AB03;NA;5.346771
flupentixol;histamine h1 receptor;N05AF01;NA;8.643868
fluphenazine;histamine h1 receptor;N05AB02;antagonist;7.690079
fluspirilene;histamine h1 receptor;N05AG01;antagonist;7.910403
fluvoxamine;histamine h1 receptor;N06AB08;NA;3.962574
haloperidol;histamine h1 receptor;N05AD01;antagonist;5.933186
hydroxyzine;histamine h1 receptor;N05BB01;antagonist;7.977771
ibuprofen;histamine h1 receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;histamine h1 receptor;N05AX14;antagonist;7.910095
imipramine;histamine h1 receptor;N06AA02;antagonist;7.152608
ketamine;histamine h1 receptor;N01AX03;NA;5.000000
ketorolac;histamine h1 receptor;M01AB15. S01BC05;NA;5.000000
ketotifen;histamine h1 receptor;R06AX17. S01GX08;antagonist;7.476009
levocetirizine;histamine h1 receptor;R06AE09;antagonist;8.500000
levomepromazine;histamine h1 receptor;N05AA02;NA;9.005393
lofepramine;histamine h1 receptor;N06AA07;NA;6.526319
loperamide;histamine h1 receptor;A07DA03;NA;5.698970
loratadine;histamine h1 receptor;R06AX13;antagonist;6.365037
loxapine;histamine h1 receptor;N05AH01;antagonist;8.028409
maprotiline;histamine h1 receptor;N06AA21;antagonist;8.858375
mazindol;histamine h1 receptor;A08AA05;NA;6.221849
meloxicam;histamine h1 receptor;M01AC06;NA;5.000000
melperone;histamine h1 receptor;N05AD03;NA;6.238286
memantine;histamine h1 receptor;N06DX01;NA;5.000000
mepyramine;histamine h1 receptor;D04AA02. R06AC01;antagonist;8.495866
mequitazine;histamine h1 receptor;R06AD07;antagonist;8.236572
mesoridazine;histamine h1 receptor;N05AC03;NA;8.709072
methapyrilene;histamine h1 receptor;R06AC05;antagonist;8.256634
methionine;histamine h1 receptor;V03AB26;NA;5.000000
methysergide;histamine h1 receptor;N02CA04;NA;5.184266
mianserin;histamine h1 receptor;N06AX03;antagonist;8.423080
mirtazapine;histamine h1 receptor;N06AX11;antagonist;8.989615
mitragynine;histamine h1 receptor;N02AX-a;NA;5.000000
molindone;histamine h1 receptor;N05AE02;antagonist;5.295722
naproxen;histamine h1 receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nefazodone;histamine h1 receptor;N06AX06;NA;5.670890
nimesulide;histamine h1 receptor;M01AX17. M02AA26;NA;5.000000
nitrazepam;histamine h1 receptor;N05CD02;NA;5.000000
nortriptyline;histamine h1 receptor;N06AA10;antagonist;8.520000
olanzapine;histamine h1 receptor;N05AH03;antagonist;8.870447
ondansetron;histamine h1 receptor;A04AA01;NA;5.000000
opipramol;histamine h1 receptor;N06AA05;NA;8.220000
orphenadrine;histamine h1 receptor;M03BC51;antagonist;6.358019
parecoxib;histamine h1 receptor;M01AH04;NA;5.000000
paroxetine;histamine h1 receptor;N06AB05;NA;4.949747
pentobarbital;histamine h1 receptor;N05CA01;NA;5.000000
perphenazine;histamine h1 receptor;N05AB03;antagonist;8.156696
phentolamine;histamine h1 receptor;C04AB01. V03AB36;NA;5.102859
pimozide;histamine h1 receptor;N05AG02;antagonist;6.449706
pipamperone;histamine h1 receptor;N05AD05;antagonist;5.609886
piroxicam;histamine h1 receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;histamine h1 receptor;N04BC05;NA;5.000000
prochlorperazine;histamine h1 receptor;N05AB04;NA;7.843522
promazine;histamine h1 receptor;N05AA03;antagonist;8.536340
promethazine;histamine h1 receptor;R06AD02. D04AA10;antagonist;8.364569
propranolol;histamine h1 receptor;C07AA05;NA;5.000000
protriptyline;histamine h1 receptor;N06AA11;NA;7.866433
prucalopride;histamine h1 receptor;A06AX05;NA;5.000000
pseudoephedrine;histamine h1 receptor;R01BA02;NA;5.000000
psylocibine;histamine h1 receptor;N06BA-d;NA;5.000000
quetiapine;histamine h1 receptor;N05AH04;antagonist;8.201689
ranitidine;histamine h1 receptor;A02BA02;NA;5.000000
remoxipride;histamine h1 receptor;N05AL04;NA;5.090000
risperidone;histamine h1 receptor;N05AX08;antagonist;7.760296
sertindole;histamine h1 receptor;N05AE03;antagonist;6.900000
sertindole;histamine h1 receptor;N05AE03;antagonist;6.654903
sertraline;histamine h1 receptor;N06AB06;NA;5.148315
sulpiride;histamine h1 receptor;N05AL01;NA;4.140000
terfenadine;histamine h1 receptor;R06AX12;antagonist;7.516708
thioridazine;histamine h1 receptor;N05AC02;antagonist;7.789676
tianeptine;histamine h1 receptor;N06AX14;NA;5.000000
tiotixene;histamine h1 receptor;N05AF04;NA;8.251067
trazodone;histamine h1 receptor;N06AX05;antagonist;6.350481
trifluoperazine;histamine h1 receptor;N05AB06;antagonist;7.201376
trimipramine;histamine h1 receptor;N06AA06;antagonist;9.077815
triprolidine;histamine h1 receptor;R06AX07;antagonist;8.498703
valdecoxib;histamine h1 receptor;M01AH03;NA;5.000000
venlafaxine;histamine h1 receptor;N06AX16;NA;5.000000
vilazodone;histamine h1 receptor;N06AX24;agonist;6.500000
ziprasidone;histamine h1 receptor;N05AE04;antagonist;7.557755
zotepine;histamine h1 receptor;N05AX11;antagonist;8.921582
acetylsalicylic acid;histamine h2 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;histamine h2 receptor;N05AL05;NA;5.000000
amitriptyline;histamine h2 receptor;N06AA09;antagonist;7.180000
aripiprazole;histamine h2 receptor;N05AX12;NA;5.000000
celecoxib;histamine h2 receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;histamine h2 receptor;N05AA01;NA;6.759451
cimetidine;histamine h2 receptor;A02BA01;antagonist;5.962406
clomipramine;histamine h2 receptor;N06AA04;NA;6.680000
clozapine;histamine h2 receptor;N05AH02;NA;6.815309
cocaine;histamine h2 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
desipramine;histamine h2 receptor;N06AA01;NA;5.810000
dibenzepin;histamine h2 receptor;N06AA08;NA;5.710000
diclofenac;histamine h2 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
ephedrine;histamine h2 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;histamine h2 receptor;N02CA02;NA;5.000000
etoricoxib;histamine h2 receptor;M01AH05;NA;5.000000
famotidine;histamine h2 receptor;A02BA03;antagonist;6.791119
fenfluramine;histamine h2 receptor;A08AA02;NA;5.000000
fluphenazine;histamine h2 receptor;N05AB02;NA;6.251812
